,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
CTDSP11,4.1827363973274e-10,0.330481497474953,0.327,0.146,8.75865001600358e-06,8,CTDSP1
RAB29,1.02068548810572e-09,0.447776254335605,0.275,0.116,2.13731541209338e-05,8,RAB29
CALCOCO2,1.50551009378416e-09,0.540782527005377,0.294,0.13,3.15253813638402e-05,8,CALCOCO2
CSNK1D,2.20537035662567e-09,1.01847369124089,0.294,0.131,4.61804552677415e-05,8,CSNK1D
GPR652,2.29553108252634e-09,0.603752452213371,0.301,0.134,4.80684208681016e-05,8,GPR65
RAB8A1,3.10923919759285e-09,0.262637233919206,0.366,0.177,6.51074687975943e-05,8,RAB8A
RIOK31,8.45125483430077e-09,0.634359615734487,0.353,0.178,0.000176969276230258,8,RIOK3
CTSD1,9.5740377948021e-09,0.747366161383287,0.327,0.16,0.000200480351423156,8,CTSD
ADGRE51,1.16542675402594e-08,0.277348754763022,0.405,0.221,0.000244040362293031,8,ADGRE5
C17orf49,1.66789910298263e-08,0.736587688752882,0.399,0.218,0.000349258072164563,8,C17orf49
TLN11,1.70772370118387e-08,1.0622921864342,0.621,0.421,0.000357597343027902,8,TLN1
PTPN2,2.5125463404729e-08,0.509903471225002,0.314,0.155,0.000526127203695026,8,PTPN2
WDR83OS1,3.46009111914542e-08,2.49330031992605,0.503,0.316,0.00072454308034905,8,WDR83OS
SQSTM12,3.9865449747002e-08,1.4434217757806,0.438,0.256,0.000834782517702222,8,SQSTM1
RNF1252,4.14543905947605e-08,0.801788608093711,0.471,0.271,0.000868054939054286,8,RNF125
SYNE11,5.19722394313001e-08,1.13468888750928,0.431,0.236,0.00108829869369142,8,SYNE1
GCHFR,6.39251649824294e-08,0.903387152290129,0.268,0.128,0.00133859295473207,8,GCHFR
PIK3R11,8.04602824498712e-08,1.28075879229751,0.654,0.491,0.0016848383145003,8,PIK3R1
TPI11,9.04463151735524e-08,2.39125394994192,0.484,0.294,0.00189394583973419,8,TPI1
SEPTIN72,9.27876173588825e-08,4.17070824855513,0.797,0.652,0.001942972707495,8,SEPTIN7
BUD311,9.74488658041292e-08,0.312073191627052,0.359,0.19,0.00204057924993846,8,BUD31
MIB2,1.03493516329581e-07,0.515671749277655,0.255,0.119,0.00216715423194144,8,MIB2
C1orf1621,1.13039657506624e-07,0.575990625385411,0.399,0.223,0.00236705042818872,8,C1orf162
CCDC121,1.17953217407884e-07,0.730434449985214,0.451,0.271,0.0024699403725211,8,CCDC12
DRAP11,1.31691185681385e-07,0.65906534122141,0.562,0.366,0.0027576134281682,8,DRAP1
HIST1H1E4,2.01011277789138e-07,1.16585729039101,0.536,0.354,0.00420917615690455,8,HIST1H1E
IFRD1,2.22571592363876e-07,0.663363156951987,0.255,0.122,0.00466064914409956,8,IFRD1
TFDP21,2.54405464912904e-07,0.548607068640295,0.275,0.133,0.00532725043527622,8,TFDP2
CD2471,3.14496684061691e-07,1.46235437199482,0.471,0.319,0.00658556056425181,8,CD247
CLDND1,3.55991856916218e-07,0.696798721903974,0.281,0.141,0.0074544694838256,8,CLDND1
CLINT1,3.851157060062e-07,0.376384910924062,0.346,0.186,0.00806432288376983,8,CLINT1
SIPA1,5.09191593839603e-07,0.402201475514666,0.268,0.133,0.0106624719750013,8,SIPA1
PTPN221,8.99437178518635e-07,0.337796349153854,0.255,0.123,0.0188342145181802,8,PTPN22
NCL1,8.9947127772088e-07,3.67034234894188,0.797,0.648,0.0188349285554752,8,NCL
TRAPPC101,1.01664555226912e-06,0.701602153144421,0.379,0.227,0.0212885578645153,8,TRAPPC10
RBM391,1.71388664075914e-06,0.910627997815865,0.81,0.701,0.0358887862574964,8,RBM39
PSMB101,1.90551862761997e-06,0.448130820851003,0.458,0.291,0.0399015600623621,8,PSMB10
RASSF12,2.30049850632415e-06,0.526942711735186,0.261,0.134,0.0481724387224278,8,RASSF1
KPNA4,2.69464800675906e-06,0.341577010655697,0.288,0.153,0.0564259292615347,8,KPNA4
CDC42SE11,3.44383804335043e-06,0.724607655752729,0.431,0.274,0.0721139686277581,8,CDC42SE1
BZW12,3.8756191915038e-06,0.483657195056043,0.497,0.337,0.0811554658700896,8,BZW1
EIF51,3.97905090765297e-06,0.939853272189018,0.569,0.403,0.0833213260062531,8,EIF5
EIF3G1,4.2151279968684e-06,4.43180515489601,0.654,0.543,0.0882647802544243,8,EIF3G
QKI,5.20818757623192e-06,0.316554097687498,0.268,0.139,0.109059447846296,8,QKI
PGLS,6.95507376529291e-06,0.533909394685166,0.399,0.244,0.145639244645234,8,PGLS
DUSP1,7.32964721480896e-06,11.1719042206878,0.778,0.623,0.1534828126781,8,DUSP1
RNF115,8.14855670437568e-06,0.279179788255083,0.255,0.133,0.170630777389627,8,RNF115
TGFB13,9.54573836384306e-06,0.257244675414102,0.438,0.296,0.199887761338874,8,TGFB1
POLR2L1,9.87830302817334e-06,0.907794309892954,0.412,0.26,0.20685166540995,8,POLR2L
APOBEC3G1,1.24619260475157e-05,2.28797652148603,0.281,0.152,0.26095273143498,8,APOBEC3G
BIN21,1.35783888568648e-05,0.761671412438491,0.595,0.411,0.284331462662749,8,BIN2
PNN1,1.43880896006934e-05,4.259478575404,0.621,0.468,0.301286596238519,8,PNN
KAT6B1,1.6872616080633e-05,0.682409584306114,0.346,0.214,0.353312580728456,8,KAT6B
DOCK8,1.83853470686492e-05,0.548691401381895,0.359,0.222,0.384989167617515,8,DOCK8
SDF4,1.86909083418398e-05,0.335026610767881,0.261,0.141,0.391387620678125,8,SDF4
HNRNPAB1,2.06976993363499e-05,0.309371669846228,0.34,0.199,0.433409824103167,8,HNRNPAB
